gene,symbol,ecocyc_id,start,end,strand
b0674,asnB,EG10092,697513,699177,-
b0675,umpH,EG10634,699574,700326,-
b0676,nagC,EG10636,700374,701594,-
b0677,nagA,EG10632,701603,702751,-
b0678,nagB,EG10633,702811,703611,-
b0679,nagE,EG10635,703944,705890,+
b0680,glnS,EG10390,706093,707757,+
b0681,chiP,G6370,708334,709740,+
b0682,chiQ,G6371,709790,710116,+
b0683,fur,EG10359,710200,710646,-
b4637,uof,G0-10580,710639,710725,-
b0684,fldA,EG10318,710935,711465,-
b0685,ybfE,EG11775,711605,711898,-
b0686,ybfF,EG11776,712038,712802,-
b0687,seqA,EG12197,712987,713532,+
b0688,pgm,EG12144,713558,715198,+
b0689,ybfP,G6374,715412,715906,+
b0692,potE,EG10753,716946,718265,-
b0693,speF,EG10964,718262,720460,-
b4803,speFL,G0-17074,720718,720822,-
b0694,kdpE,EG10517,721056,721733,-
b0695,kdpD,EG10516,721730,724414,-
b0696,kdpC,EG10515,724407,724979,-
b0697,kdpB,EG10514,724988,727036,-
b0698,kdpA,EG10513,727059,728732,-
b4513,kdpF,G0-10439,728732,728821,-
b0699,ybfA,EG11521,729134,729340,+
b0700,rhsC,EG10848,729583,733776,+
b0702,ybfB,EG11522,733776,734102,+
b0704,ybfC,EG11523,735650,736219,+
b4514,ybfQ,G0-10440,736445,736699,+
b0706,ybfD,EG11524,738092,738853,+
b0707,ybgA,EG11108,739001,739510,+
b0708,phr,EG10736,739507,740925,+
b0709,dtpD,G6378,741075,742556,-
b0710,ybgI,G6379,742827,743570,+
b0711,pxpB,G6380,743593,744249,+
b0712,pxpC,G6381,744243,745175,+
b0713,pxpA,G6382,745165,745899,+
b0714,nei,G6383,745935,746726,+
b0715,abrB,G6384,746723,747769,-
b0716,ybgO,G6385,747921,748982,-
b0717,ybgP,G6386,748979,749707,-
b0718,ybgQ,G6387,749722,752169,-
b0719,ybgD,EG12359,752229,752795,-
b0720,gltA,EG10402,753185,754468,-
b4768,ybgV,G0-17014,754658,754690,-
b4735,ybgU,G0-16730,754674,754781,-
b0721,sdhC,EG10933,755177,755566,+
b0722,sdhD,EG10934,755560,755907,+
b0723,sdhA,EG10931,755907,757673,+
b0724,sdhB,EG10932,757689,758405,+
b0726,sucA,EG10979,758706,761507,+
b0727,sucB,EG10980,761522,762739,+
b0728,sucC,EG10981,763014,764180,+
b0729,sucD,EG10982,764180,765049,+
b4764,sdhX,G0-17009,765050,765150,+
b0730,mngR,EG11109,765153,765875,-
b0731,mngA,EG13235,765984,767960,+
b0732,mngB,EG13236,767978,770611,+
b0733,cydA,EG10173,771458,773026,+
b0734,cydB,EG10174,773042,774181,+
b4515,cydX,G0-10441,774196,774309,+
b0735,ybgE,EG12395,774309,774602,+
b0736,ybgC,EG11110,774752,775156,+
b0737,tolQ,EG11010,775153,775845,+
b0738,tolR,EG11011,775849,776277,+
b0739,tolA,EG11007,776342,777607,+
b0740,tolB,EG11008,777740,779032,+
b0741,pal,EG10684,779067,779588,+
b0742,cpoB,EG12854,779598,780389,+
b0743,lysT,EG30055,780554,780629,+
b0744,valT,EG30109,780765,780840,+
b0745,lysW,EG30057,780843,780918,+
b0746,valZ,G6389,781068,781143,+
b0747,lysY,G6390,781147,781222,+
b0748,lysZ,G6391,781369,781444,+
b0749,lysQ,G6392,781577,781652,+
b0750,nadA,EG10630,782085,783128,+
b0751,pnuC,EG11700,783166,783885,+
b0752,zitB,G6393,783882,784823,-
b0753,ybgS,G6394,784937,785317,-
b0754,aroG,EG10079,785633,786685,+
b0755,gpmA,EG11699,786843,787595,-
b0756,galM,EG11698,787797,788837,-
b0757,galK,EG10363,788831,789979,-
b0758,galT,EG10366,789983,791029,-
b0759,galE,EG10362,791039,792055,-
b0760,modF,EG11677,792316,793788,-
b0761,modE,G6395,793856,794644,-
b0762,acrZ,G6396,794773,794922,+
b0763,modA,EG12427,795089,795862,+
b0764,modB,EG10002,795862,796551,+
b0765,modC,EG10152,796554,797612,+
b0766,ybhA,EG11239,797613,798431,-
b0767,pgl,G6397,798586,799581,+
b0768,ybhD,G6398,799622,800575,-
b0769,ybhH,G6399,800759,801811,+
b0770,ybhI,G6400,801887,803320,+
b0771,ybhJ,G6401,803503,805764,+
b0772,ybhC,EG12875,805998,807281,-
b0773,ybhB,EG11238,807433,807909,-
b0774,bioA,EG10117,807968,809257,-
b0775,bioB,EG10118,809344,810384,+
b0776,bioF,EG10121,810381,811535,+
b0777,bioC,EG10119,811522,812277,+
b0778,bioD,EG10120,812270,812947,+
b0779,uvrB,EG11062,813526,815547,+
b0780,ybhK,G6402,815739,816647,-
b0781,moaA,EG11595,817044,818033,+
b0782,moaB,EG11596,818055,818567,+
b0783,moaC,EG11666,818570,819055,+
b0784,moaD,EG11597,819048,819293,+
b0785,moaE,EG11598,819295,819747,+
b0786,ybhL,G6403,819884,820588,+
b0787,ybhM,G6404,820793,821506,+
b0788,ybhN,G6405,821542,822498,-
b0789,clsB,G6406,822498,823739,-
b0790,ybhP,G6407,823736,824497,-
b0791,ybhQ,G6408,824630,825040,+
b0792,ybhR,G6409,825002,826108,-
b0793,ybhS,G6410,826119,827252,-
b0794,ybhF,G6411,827245,828981,-
b0795,ybhG,G6412,828974,829972,-
b0796,cecR,EG12406,829972,830643,-
b0797,rhlE,EG11235,830872,832236,+
b0798,ybiA,EG11579,832468,832950,-
b0799,dinG,EG11357,833070,835220,+
b0800,ybiB,EG11580,835248,836210,+
b0801,hcxB,EG11581,836351,837436,+
b4769,ybiE,G0-17015,837503,837562,+
b0802,ybiJ,EG12422,837665,837925,-
b0803,ybiI,EG12421,838190,838456,-
b0804,ybiX,G6413,838530,839207,-
b0805,fiu,G6414,839249,841531,-
b0806,mcbA,G6415,841796,842056,-
b0807,rlmF,G6416,842332,843258,+
b0808,ybiO,G6417,843255,845480,-
b0809,glnQ,EG10389,845741,846463,-
b0810,glnP,EG10388,846460,847119,-
b0811,glnH,EG10386,847258,848004,-
b0812,dps,EG11415,848408,848911,-
b0813,rhtA,EG12134,849210,850097,-
b4736,yliM,G0-16731,850332,850397,+
b0814,ompX,EG12117,850450,850965,+
b0815,opgE,G6418,851014,852597,-
b4416,rybA,G0-8881,852725,853064,-
b4705,mntS,G0-10715,852869,852997,-
b0817,mntR,G6420,853183,853650,+
b0818,ybiR,G6421,853647,854765,+
b0819,ldtB,G6422,854824,855744,-
b0820,ybiT,G6423,855963,857555,+
b0821,ybiU,G6424,857796,859061,-
b0822,ybiV,G6425,859213,860028,-
b0823,ybiW,G6426,860174,862606,-
b0824,ybiY,G6427,862612,863511,-
b0825,fsaA,G6428,863642,864304,+
b0826,moeB,EG10154,864380,865129,-
b0827,moeA,EG10153,865129,866364,-
b0828,iaaA,EG12407,866568,867533,+
b0829,gsiA,G6429,867520,869391,+
b0830,gsiB,G6430,869411,870949,+
b0831,gsiC,G6431,870967,871887,+
b0832,gsiD,G6432,871890,872801,+
b0833,pdeI,G6433,872979,875327,+
b0834,dgcI,G6434,875335,876663,+
b0835,rimO,G6435,876710,878035,-
b0836,bssR,G6436,878248,878631,+
b0837,yliI,G6437,878742,879857,+
b0838,gstB,G6438,879854,880480,-
b0839,dacC,EG10203,880727,881929,+
b0840,deoR,EG10223,881976,882734,-
b0841,ybjG,G6439,882792,883388,-
b0842,mdfA,G6440,883673,884905,+
b0843,ybjH,G6441,884946,885230,-
b0844,ybjI,G6442,885316,886131,-
b0845,ybjJ,G6443,886131,887339,-
b0846,rcdA,G6444,887423,887959,+
b4417,rybB,G0-8880,887979,888057,-
b0847,ybjL,G6445,888134,889819,-
b0848,ybjM,G6446,890089,890466,+
b0849,grxA,EG10417,890496,890753,-
b0850,ybjC,EG12842,890913,891200,+
b0851,nfsA,EG11261,891184,891906,+
b0852,rimK,EG10852,891967,892869,+
b0853,ybjN,G6447,892957,893433,+
b0854,potF,EG11629,893784,894896,+
b0855,potG,EG11630,894991,896124,+
b0856,potH,EG11631,896134,897087,+
b0857,potI,EG11632,897084,897929,+
b0858,ybjO,G6448,897989,898477,+
b0859,rlmC,G6449,898518,899645,+
b0860,artJ,EG11628,899844,900575,-
b0861,artM,EG11627,900866,901534,-
b0862,artQ,EG11626,901534,902250,-
b0863,artI,EG11625,902257,902988,-
b0864,artP,EG11624,903006,903734,-
b0865,ybjP,G6450,903952,904467,-
b0866,ybjQ,G6451,904593,904916,+
b0867,amiD,G6452,904913,905743,+
b0868,ybjS,G6453,905740,906753,-
b0869,ybjT,G6454,906852,908282,-
b0870,ltaE,G6455,908293,909294,-
b0871,poxB,EG10754,909331,911049,-
b0872,hcr,G6456,911182,912150,-
b0873,hcp,G6457,912162,913814,-
b0874,lysO,G6458,913958,914857,-
b0875,aqpZ,EG13270,915352,916047,-
b0876,ybjD,G6459,916473,918131,+
b0877,ybjX,G6460,918128,919120,-
b0878,macA,G6461,919235,920350,+
b0879,macB,G6462,920347,922293,+
b0880,cspD,EG11111,922366,922590,-
b4770,yljB,G0-17016,922740,922814,+
b0881,clpS,G6463,922913,923233,+
b0882,clpA,EG10156,923264,925540,+
b0883,serW,EG30096,925884,925971,-
b0884,infA,EG10504,926225,926443,-
b0885,aat,EG11112,926728,927432,-
b0886,cydC,EG10012,927474,929195,-
b0887,cydD,EG11405,929196,930962,-
b0888,trxB,EG11032,931085,932050,-
b0889,lrp,EG10547,932595,933089,+
b0890,ftsK,G6464,933224,937213,+
b0891,lolA,G6465,937372,937983,+
b0892,rarA,EG12690,937994,939337,+
b0893,serS,EG10947,939428,940720,+
b0894,dmsA,EG10232,940959,943403,+
b0895,dmsB,EG10233,943414,944031,+
b0896,dmsC,EG10234,944033,944896,+
b0897,ycaC,EG11241,944931,945557,-
b0898,ycaD,EG11242,945871,947019,+
b0899,ycaM,G6466,947229,948659,+
b0900,ycaN,G6467,948660,949568,-
b0901,ycaK,EG12702,949668,950258,+
b0902,pflA,EG10028,950340,951080,-
b0903,pflB,EG10701,951272,953554,-
b0904,focA,EG11258,953609,954466,-
b0905,ycaO,G6468,954872,956632,-
b0906,ycaP,G6469,956762,957454,+
b0907,serC,EG10946,957653,958741,+
b0908,aroA,EG10073,958812,960095,+
b0909,ycaL,G6470,960264,961028,+
b0910,cmk,EG11265,961201,961884,+
b0911,rpsA,EG10900,961995,963668,+
b0912,ihfB,EG10441,963828,964112,+
b0913,ycaI,EG12375,964320,966584,+
b0914,msbA,EG10613,966621,968369,+
b0915,lpxK,EG11409,968366,969352,+
b0916,ycaQ,G6471,969389,970621,+
b0917,ycaR,G6472,970673,970855,+
b0918,kdsB,EG10519,970852,971598,+
b0919,ycbJ,G6473,971752,972645,+
b0920,elyC,EG12166,972622,973401,-
b0921,cmoM,EG12167,973537,974322,+
b0922,mukF,EG12165,974319,975641,+
b0923,mukE,EG11252,975622,976326,+
b0924,mukB,EG10618,976326,980786,+
b0925,ldtD,EG11253,981047,982894,+
b0926,mepK,G6474,983075,983623,+
b0927,gloC,G6475,983650,984297,+
b0928,aspC,EG10096,984519,985709,-
b0929,ompF,EG10671,985894,986982,-
b0930,asnS,EG10094,987585,988985,-
b0931,pncB,EG10742,989154,990356,-
b0932,pepN,EG10696,990622,993234,+
b0933,ssuB,EG12358,993277,994044,-
b0934,ssuC,G6476,994041,994832,-
b0935,ssuD,G6477,994843,995988,-
b0936,ssuA,G6478,995985,996944,-
b0937,ssuE,G6479,996937,997512,-
b0938,elfA,G6480,997868,998407,+
b0939,elfD,G6481,998490,999191,+
b0940,elfC,G6482,999216,1001816,+
b0941,elfG,G6483,1001807,1002877,+
b0942,ycbU,G6484,1002889,1003431,+
b0943,ycbV,G6485,1003439,1003954,+
b0944,ycbF,EG12397,1003947,1004657,+
b0945,pyrD,EG10807,1004768,1005778,+
b0946,zapC,G6486,1005952,1006494,+
b0947,ycbX,G6487,1006491,1007600,-
b0948,rlmL,G6488,1007844,1009952,+
b0949,uup,G6489,1009964,1011871,+
b0950,pqiA,G6490,1012001,1013254,+
b0951,pqiB,G6491,1013259,1014899,+
b0952,pqiC,G6492,1014896,1015459,+
b0953,rmf,EG50004,1015715,1015882,+
b0954,fabA,EG10273,1015952,1016470,-
b0955,ycbZ,G6493,1016539,1018299,-
b0956,matP,EG12855,1018485,1018937,+
b0957,ompA,EG10669,1019013,1020053,-
b0958,sulA,EG10984,1020410,1020919,-
b0959,sxy,G6494,1021138,1021767,+
b0960,yccS,G6495,1021730,1023883,-
b0961,yccF,G6496,1023902,1024348,-
b0962,helD,EG10426,1024471,1026525,+
b0963,mgsA,G6497,1026557,1027015,-
b0964,csgI,G6498,1027111,1027773,-
b0965,yccU,G6499,1027946,1028359,+
b0966,hspQ,G6500,1028404,1028721,-
b0967,rlmI,G6501,1028779,1029969,-
b0968,yccX,G6502,1030064,1030342,+
b0969,tusE,EG12876,1030339,1030668,-
b0970,yccA,EG11113,1030759,1031418,-
b0971,serT,EG30093,1031625,1031712,-
b0972,hyaA,EG10468,1032139,1033257,+
b0973,hyaB,EG10469,1033254,1035047,+
b0974,hyaC,EG10470,1035066,1035773,+
b0975,hyaD,EG10471,1035770,1036357,+
b0976,hyaE,EG10472,1036354,1036752,+
b0977,hyaF,EG10473,1036749,1037606,+
b0978,appC,EG11380,1037740,1039284,+
b0979,appB,EG11379,1039296,1040432,+
b4592,appX,G0-10588,1040445,1040537,+
b0980,appA,EG10049,1040617,1041915,+
b0981,etk,EG11826,1042030,1044210,-
b0982,etp,G6503,1044230,1044676,-
b0983,gfcE,G6504,1044664,1045803,-
b0984,gfcD,G6505,1045849,1047945,-
b0985,gfcC,G6506,1047945,1048691,-
b0986,gfcB,G6507,1048688,1049332,-
b0987,gfcA,G6508,1049439,1049744,-
b4516,insA4,G0-10430,1049833,1050108,+
b0988,insB4,G6509,1050027,1050530,+
b0989,cspH,G6510,1050963,1051175,-
b0990,cspG,G6511,1051461,1051673,+
b4723,ymcF,G0-16688,1051684,1051872,+
b0991,ymcE,G6512,1051847,1052077,+
b4517,gnsA,G0-9662,1052067,1052240,+
b0992,yccM,G6513,1052289,1053362,-
b0993,torS,G6514,1053434,1056178,-
b0994,torT,G6515,1056261,1057289,+
b0995,torR,EG12615,1057262,1057954,-
b0996,torC,EG11815,1058084,1059256,+
b0997,torA,EG11814,1059256,1061802,+
b0998,torD,EG12195,1061799,1062398,+
b0999,cbpM,EG12194,1062550,1062855,-
b1000,cbpA,EG12193,1062855,1063775,-
b1001,yccE,EG12196,1064036,1065292,+
b1002,agp,EG10033,1065585,1066826,+
b1003,yccJ,EG12703,1066864,1067091,-
b1004,wrbA,EG11540,1067112,1067708,-
b4518,ymdF,G0-10443,1068081,1068254,+
b1006,rutG,G6517,1068511,1069839,-
b1007,rutF,G6518,1069860,1070354,-
b1008,rutE,G6519,1070365,1070955,-
b1009,rutD,G6520,1070965,1071765,-
b1010,rutC,G6521,1071773,1072159,-
b1011,rutB,G6522,1072171,1072863,-
b1012,rutA,G6523,1072863,1074011,-
b1013,rutR,EG12301,1074242,1074880,+
b1014,putA,EG10801,1074920,1078882,-
b4737,ymdG,G0-16732,1079120,1079146,+
b1015,putP,EG10802,1079305,1080813,+
b1018,efeO,G6527,1082243,1083370,+
b1019,efeB,EG11735,1083376,1084647,+
b1020,phoH,EG11734,1084992,1086056,+
b1021,pgaD,G6528,1086106,1086519,-
b1022,pgaC,G6529,1086521,1087846,-
b1023,pgaB,G6530,1087839,1089857,-
b1024,pgaA,G6531,1089866,1092289,-
b1025,dgcT,G6532,1092876,1094234,+
b1026,insF4,G6533,1094275,1095141,-
b1027,insE4,G6534,1095138,1095437,-
b1029,ycdU,G6536,1095843,1096829,+
b1032,serX,EG30097,1097565,1097652,-
b1033,ghrA,G6539,1097886,1098824,+
b1034,ycdX,G6540,1098879,1099616,+
b1035,ycdY,G6541,1099640,1100194,+
b1036,ycdZ,G6542,1100296,1100787,+
b1037,csgG,G6543,1100851,1101684,-
b1038,csgF,G6544,1101711,1102127,-
b1039,csgE,G6545,1102152,1102541,-
b1040,csgD,G6546,1102546,1103196,-
b1041,csgB,G6547,1103951,1104406,+
b1042,csgA,EG11489,1104447,1104902,+
b1043,csgC,G6548,1104961,1105293,+
b1044,ymdA,G6549,1105414,1105725,+
b1045,ymdB,G6550,1105820,1106353,+
b1046,clsC,G6551,1106355,1107776,+
b1047,opgC,G6552,1107784,1108941,-
b1048,opgG,EG11885,1109335,1110870,+
b1049,opgH,EG11886,1110863,1113406,+
b1050,yceK,EG12689,1113579,1113806,+
b1051,msyB,EG11338,1113807,1114181,-
b1053,mdtG,EG11343,1114264,1115490,-
b1054,lpxL,EG10464,1115662,1116582,-
b1055,trhO,EG11116,1116807,1117859,+
b1056,yceI,EG11820,1117901,1118476,-
b1057,yceJ,G6554,1118480,1119046,-
b1058,yceO,G6555,1119307,1119447,-
b1059,solA,G6556,1119468,1120586,-
b1060,bssS,G6557,1120701,1120955,-
b1061,dinI,G6558,1121242,1121487,-
b1062,pyrC,EG10806,1121561,1122607,-
b1063,yceB,EG11117,1122713,1123273,-
b1064,grxB,EG12688,1123407,1124054,-
b1065,mdtH,G6559,1124118,1125326,-
b1066,rimJ,EG10851,1125562,1126146,+
b1067,yceH,EG11537,1126157,1126804,+
b1068,yceM,G6560,1126806,1127729,+
b1069,murJ,G6561,1127839,1129374,+
b1070,flgN,G6562,1129414,1129830,-
b1071,flgM,G369,1129835,1130128,-
b1072,flgA,G357,1130204,1130863,-
b1073,flgB,G358,1131018,1131434,+
b1074,flgC,G359,1131438,1131842,+
b1075,flgD,G360,1131854,1132549,+
b1076,flgE,G361,1132574,1133782,+
b1077,flgF,G362,1133802,1134557,+
b1078,flgG,G363,1134729,1135511,+
b1079,flgH,G364,1135564,1136262,+
b1080,flgI,G365,1136274,1137371,+
b1081,flgJ,G366,1137371,1138312,+
b1082,flgK,EG11967,1138378,1140021,+
b1083,flgL,EG11545,1140033,1140986,+
b1084,rne,EG10859,1141182,1144367,-
b1085,yceQ,G6563,1144502,1144822,+
b1086,rluC,EG11118,1144940,1145899,+
b1087,yceF,EG11438,1146011,1146595,-
b4418,sraB,G0-8862,1146589,1146757,+
b1088,yceD,EG11119,1146794,1147315,+
b1089,rpmF,EG10890,1147367,1147540,+
b1090,plsX,EG11437,1147621,1148691,+
b1091,fabH,EG10277,1148759,1149712,+
b1092,fabD,EG11317,1149728,1150657,+
b1093,fabG,EG11318,1150670,1151404,+
b1094,acpP,EG50003,1151615,1151851,+
b1095,fabF,EG12606,1151939,1153180,+
b1096,pabC,EG11493,1153300,1154109,+
b1097,mltG,EG11494,1154112,1155134,+
b1098,tmk,EG12302,1155124,1155765,+
b1099,holB,EG11500,1155762,1156766,+
b1100,ycfH,EG12303,1156777,1157574,+
b1101,ptsG,EG10787,1157869,1159302,+
b1102,fhuE,EG10306,1159362,1161551,-
b1103,hinT,EG12172,1161885,1162244,+
b1104,ycfL,G6564,1162247,1162624,+
b1105,lpoB,G6565,1162638,1163279,+
b1106,thiK,G6566,1163260,1164084,+
b1107,nagZ,G6567,1164095,1165120,+
b1108,ycfP,G6568,1165143,1165685,+
b1109,ndh,EG10649,1166085,1167389,+
b1110,ycfJ,EG12444,1167599,1168138,+
b1111,comR,G6569,1168200,1168832,-
b1112,bhsA,G6570,1169073,1169330,+
b1113,ldtC,G6571,1169412,1170374,-
b1114,mfd,EG11619,1170518,1173964,-
b1115,ycfT,G6572,1174092,1175165,-
b1116,lolC,G6573,1175427,1176626,+
b1117,lolD,G6574,1176619,1177320,+
b1118,lolE,G6575,1177320,1178564,+
b1119,nagK,G6576,1178593,1179504,+
b1120,cobB,G6577,1179520,1180359,+
b1121,ycfZ,G6578,1180479,1181267,-
b1122,ymfA,G6579,1181264,1181725,-
b1123,potD,EG10752,1181783,1182829,-
b1124,potC,EG10751,1182826,1183620,-
b1125,potB,EG10750,1183617,1184444,-
b1126,potA,EG10749,1184458,1185594,-
b1127,pepT,EG11549,1185844,1187070,+
b1128,roxA,EG11430,1187119,1188240,-
b1129,phoQ,EG10732,1188316,1189776,-
b1130,phoP,EG10731,1189776,1190447,-
b1131,purB,EG11314,1190616,1191986,-
b1132,hflD,EG11345,1191990,1192631,-
b1133,mnmA,EG11344,1192667,1193773,-
b1134,nudJ,G6580,1193827,1194288,-
b1135,rluE,G6581,1194298,1194951,-
b1136,icd,EG10489,1195123,1196373,+
b1137,ymfD,G6582,1196867,1197532,-
b1138,ymfE,G6583,1197533,1198237,-
b1139,lit,EG10535,1198695,1199588,+
b1140,intE,EG12370,1199679,1200806,-
b1141,xisE,G6585,1200787,1201032,-
b1142,ymfH,G6586,1201069,1201380,-
b1143,ymfI,G6587,1201497,1201838,+
b1144,ymfJ,G6588,1201776,1202084,-
b1145,ymfK,G6589,1202259,1202933,-
b1146,ymfT,G6590,1203024,1203224,+
b1147,ymfL,G6591,1203268,1203825,+
b1148,ymfM,G6592,1203822,1204160,+
b1149,ymfN,G6593,1204170,1205537,+
b1150,ymfR,G6594,1205549,1205731,+
b1151,beeE,G6595,1205731,1206204,+
b1153,ymfQ,G6597,1206913,1207497,+
b1154,ycfK,EG12877,1207501,1208130,+
b1155,tfaP,G6598,1208132,1208545,+
b1156,tfaE,EG11120,1208517,1209119,-
b1158,pinE,EG10737,1209685,1210239,+
b1159,mcrA,EG10573,1210346,1211179,+
b1160,iraM,G6600,1211680,1212003,-
b4738,ymgK,G0-16733,1212260,1212304,-
b4739,ymgL,G0-16734,1212540,1212650,-
b1161,ycgX,G6601,1212703,1213107,-
b1162,bluR,G6602,1213328,1214059,-
b1163,bluF,G6603,1214264,1215475,-
b1164,ycgZ,G6604,1215789,1216025,+
b1165,ymgA,G6605,1216068,1216340,+
b1166,ariR,G6606,1216369,1216635,+
b1167,ymgC,G6607,1216748,1216996,+
b1168,pdeG,G6608,1217328,1218851,+
b4520,ymgF,G0-10261,1218983,1219201,+
b1171,ymgD,G6611,1222305,1222634,-
b1172,ymgG,G6612,1222644,1222988,-
b4593,ymgI,G0-10589,1222990,1223163,-
b4594,ymgJ,G0-10590,1223264,1223449,+
b1174,minE,EG10598,1224279,1224545,-
b1175,minD,EG10597,1224549,1225361,-
b1176,minC,EG10596,1225385,1226080,-
b1177,ycgJ,G6614,1226600,1226968,+
b1178,pliG,G6615,1227071,1227472,-
b1179,ycgL,G6616,1227681,1228007,+
b1180,ycgM,G6617,1228079,1228738,+
b1181,ycgN,G6618,1228815,1229276,+
b1182,hlyE,G6619,1229483,1230394,-
b1183,umuD,EG11057,1230767,1231186,+
b1184,umuC,EG11056,1231186,1232454,+
b1185,dsbB,EG11393,1232500,1233030,-
b1186,nhaB,EG11392,1233176,1234717,-
b1187,fadR,EG10281,1234938,1235657,+
b1188,ycgB,EG11516,1235709,1237241,-
b1189,dadA,EG11407,1237571,1238869,+
b1190,dadX,EG11408,1238879,1239949,+
b4740,ymgM,G0-16735,1240260,1240463,+
b1191,cvrA,G6620,1240335,1242071,-
b1192,ldcA,G6621,1242166,1243080,-
b1193,emtA,G6622,1243180,1243791,+
b1194,ycgR,G6623,1243793,1244527,-
b1195,ymgE,G6624,1244728,1244982,+
b1196,ycgY,G6625,1245160,1245600,+
b1197,treA,EG11017,1245679,1247376,-
b1198,dhaM,EG12399,1247696,1249114,-
b1199,dhaL,G6626,1249125,1249757,-
b1200,dhaK,G6627,1249768,1250838,-
b1201,dhaR,G6628,1251066,1252985,+
b1202,ycgV,G6629,1253085,1255952,-
b1203,ychF,EG11404,1256721,1257812,-
b1204,pth,EG10785,1257929,1258513,-
b1205,ychH,EG11533,1258791,1259069,+
b1206,dauA,EG12392,1259124,1260803,-
b1207,prs,EG10774,1260928,1261875,-
b1208,ispE,EG11294,1262026,1262877,-
b1209,lolB,EG11293,1262877,1263500,-
b1210,hemA,EG10427,1263714,1264970,+
b1211,prfA,EG10761,1265012,1266094,+
b1212,prmC,EG12424,1266094,1266927,+
b1213,ychQ,G6630,1266924,1267316,+
b1214,ychA,EG11251,1267320,1268129,+
b1215,kdsA,EG10518,1268165,1269019,+
b4419,ldrA,G0-9602,1269168,1269275,-
b4420,rdlA,G0-9603,1269323,1269389,+
b4421,ldrB,G0-9605,1269703,1269810,-
b4422,rdlB,G0-9606,1269858,1269923,+
b4423,ldrC,G0-9607,1270238,1270345,-
b4424,rdlC,G0-9608,1270393,1270460,+
b1216,chaA,EG11753,1270749,1271849,-
b1217,chaB,EG12402,1272119,1272349,+
b1218,chaC,EG12403,1272507,1273202,+
b1219,ychN,EG12404,1273246,1273599,-
b1220,ychO,EG12405,1273784,1275178,+
b1221,narL,EG10643,1275179,1275829,-
b1222,narX,EG10646,1275822,1277618,-
b1223,narK,EG10642,1277957,1279348,+
b1224,narG,EG10638,1279864,1283607,+
b1225,narH,EG10639,1283604,1285142,+
b1226,narJ,EG10641,1285139,1285849,+
b1227,narI,EG10640,1285849,1286526,+
b1228,ychS,G6631,1286709,1286984,+
b4425,rttR,G0-9609,1287066,1287236,-
b1229,tpr,EG11016,1287087,1287176,-
b1230,tyrV,EG30108,1287244,1287328,-
b1231,tyrT,EG30106,1287538,1287622,-
b1232,purU,EG11819,1287782,1288624,-
b1233,ychJ,EG12119,1288674,1289132,-
b1234,rssA,EG12120,1289245,1290150,+
b1235,rssB,EG12121,1290242,1291255,+
b1236,galU,EG11319,1291457,1292365,+
b1237,hns,EG10457,1292509,1292922,-
b1238,tdk,EG10994,1293527,1294144,+
b1241,adhE,EG10031,1295446,1298121,-
b4771,ychT,G0-17017,1298514,1298567,+
b1242,ychE,EG11342,1298598,1299245,+
b4711,insH21,G0-16639,1299567,1300547,+
b1243,oppA,EG10674,1301182,1302813,+
b1244,oppB,EG10675,1302899,1303819,+
b1245,oppC,EG10676,1303834,1304742,+
b1246,oppD,EG10677,1304754,1305767,+
b1247,oppF,EG10678,1305764,1306768,+
b1248,yciU,G6633,1306821,1307150,-
b1249,clsA,EG11608,1307185,1308645,-
b4595,yciY,G0-8891,1308788,1308961,+
b1250,kch,EG11606,1309016,1310269,-
b1251,yciI,EG11607,1310569,1310865,-
b1252,tonB,EG11012,1311089,1311808,+
b1253,yciA,EG11121,1311848,1312246,-
b1254,yciB,EG11122,1312351,1312890,-
b1255,yciC,EG11123,1312920,1313663,-
b1256,ompW,EG11124,1314020,1314658,+
b1257,yciE,EG11125,1314718,1315224,-
b1258,yciF,EG11126,1315270,1315770,-
b1259,yciG,EG11127,1315856,1316035,-
b1260,trpA,EG11024,1316416,1317222,-
b1261,trpB,EG11025,1317222,1318415,-
b1262,trpC,EG11026,1318427,1319788,-
b1263,trpD,EG11027,1319789,1321384,-
b1264,trpE,EG11028,1321384,1322946,-
b1265,trpL,EG11274,1323038,1323082,-
b1266,rnm,G6634,1323220,1324101,+
b1267,yciO,G6635,1324098,1324718,+
b1268,yciQ,G6636,1324746,1326641,+
b1269,rluB,EG12433,1326852,1327727,+
b1270,btuR,EG10130,1327767,1328357,-
b1271,yciK,EG11759,1328354,1329112,-
b1272,sohB,EG10956,1329332,1330381,+
b1273,yciN,EG12868,1330417,1330668,-
b1274,topA,EG11013,1331048,1333645,+
b1275,cysB,EG10184,1333855,1334829,+
b4522,ymiA,G0-10512,1335148,1335288,+
b4523,yciX,G0-10513,1335291,1335458,+
b4741,ymiC,G0-16736,1335572,1335667,+
b1276,acnA,EG11325,1335831,1338506,+
b1277,ribA,EG11331,1338570,1339160,-
b1278,pgpB,EG10705,1339330,1340094,+
b1279,lapA,G6637,1340243,1340551,+
b1280,lapB,EG12691,1340558,1341727,+
b1281,pyrF,EG10809,1341921,1342658,+
b1282,yciH,EG11128,1342658,1342984,+
b1283,osmB,EG10679,1343110,1343328,-
b1284,yciT,G6638,1343597,1344346,-
b4596,yciZ,G0-10591,1344436,1344609,-
b4772,ymiD,G0-17018,1344647,1344775,+
